mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-32.5,192.0,20/25,35,160,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-32.5,192.0,20/25,45,170,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-65.6,70.0,20/25,35,160,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-65.6,70.0,20/25,45,170,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-38.5,192.0,25/30,35,160,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-38.5,192.0,25/30,45,170,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-71.6,73.9,25/30,35,160,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-71.6,73.9,25/30,45,170,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-42.9,192.0,30/37,35,160,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-42.9,192.0,30/37,45,170,125,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-71.6,87.6,30/37,35,160,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-35
-71.6,87.6,30/37,45,170,125,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-45
-34.3,192.0,20/25,50,180,130,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-18-100-50
-34.3,192.0,20/25,30,160,130,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-30
-34.3,192.0,20/25,40,170,130,1,1,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-40
-69.4,71.4,20/25,50,180,130,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-18-100-50
-69.4,71.4,20/25,30,160,130,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-16-100-30
-69.4,71.4,20/25,40,170,130,2,2,HIT-HP MVX-1812-hh-100-cc,HIT-HP MVX-1812-17-100-40
