mrd,vrd,c,cc,hh,h,mrd_type,vrd_type,product_type,new_product_type
-37.2,176.0,20/25,50,175,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
-37.2,176.0,20/25,30,155,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-15.5-100-30
-37.2,176.0,20/25,35,160,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-35
-37.2,176.0,20/25,40,165,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-40
-37.2,176.0,20/25,45,170,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-45
-52.6,120.1,20/25,50,175,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
-52.6,120.1,20/25,30,155,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-15.5-100-30
-52.6,120.1,20/25,35,160,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-35
-52.6,120.1,20/25,40,165,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-40
-52.6,120.1,20/25,45,170,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-45
-43.1,176.0,25/30,50,175,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
-43.1,176.0,25/30,30,155,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-15.5-100-30
-43.1,176.0,25/30,35,160,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-35
-43.1,176.0,25/30,40,165,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-40
-43.1,176.0,25/30,45,170,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-45
-54.8,135.3,25/30,50,175,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
-54.8,135.3,25/30,30,155,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-15.5-100-30
-54.8,135.3,25/30,35,160,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-35
-54.8,135.3,25/30,40,165,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-40
-54.8,135.3,25/30,45,170,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-45
-47.2,176.0,30/37,50,175,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
-47.2,176.0,30/37,30,155,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-15.5-100-30
-47.2,176.0,30/37,35,160,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.0-100-35
-47.2,176.0,30/37,40,165,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-16.5-100-40
-47.2,176.0,30/37,45,170,125,1,1,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.0-100-45
-54.8,149.1,30/37,50,175,125,2,2,HIT-HP MVX-1311-hh-100-cc,HIT-HP MVX-1311-17.5-100-50
