0,1,2,3,4,5,6,7,8,9,10,11,12,13
HIT-HP MVX-0609-hh-100-cc,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"gnurhewebegnähfuA
dnu
-guztlapS",,C20/25,,,,C25/30,,,,C30/37,,,
,,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",,"As,Sp,h",,"As,v",
,,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt,beidseitig,,direkt,indirekt
,,[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m],[cm²],,[cm²/m],[cm²/m]
,"As,req","0,14",,"0,94","4,25","0,14",,"1,01","4,32","0,14",,"1,01","4,32"
,"As,min","0,50",,"1,13","1,13","0,50",,"1,13","1,13","0,50",,"1,13","1,13"
,"As,prov",∅8,,∅6/25,"∅8/11,5",∅8,,∅6/25,"∅8/11,5",∅8,,∅6/25,"∅8/11,5"
,h-cnom,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),,Punkt 1 (max V),,Punkt 2 (max M),
,,"MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2","MRd,1","±VRd,1","MRd,2","±VRd,2"
,[mm],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m],[kNm/m],[kN/m]
"mm05
-
03=monc
rüf
eraapetreW-tfarkreuQ-netnemoM
,tiekgihäfgarT
red
dnatsuzznerG
mi
netiekgihäfgarT",125,"-27,1","144,0","-27,1","144,0","-27,6","144,0","-27,6","144,0","-27,6","144,0","-27,6","144,0"
,130,"-28,6","144,0","-28,6","144,0","-29,1","144,0","-29,1","144,0","-29,1","144,0","-29,1","144,0"
,135,"-30,1","144,0","-30,1","144,0","-30,6","144,0","-30,6","144,0","-30,6","144,0","-30,6","144,0"
,140,"-31,6","144,0","-31,6","144,0","-32,1","144,0","-32,1","144,0","-32,1","144,0","-32,1","144,0"
,145,"-33,0","144,0","-33,0","144,0","-33,6","144,0","-33,6","144,0","-33,6","144,0","-33,6","144,0"
,150,"-34,5","144,0","-34,5","144,0","-35,0","144,0","-35,0","144,0","-35,0","144,0","-35,0","144,0"
,155,"-36,0","144,0","-36,0","144,0","-36,5","144,0","-36,5","144,0","-36,5","144,0","-36,5","144,0"
,160,"-37,5","144,0","-37,5","144,0","-38,0","144,0","-38,0","144,0","-38,0","144,0","-38,0","144,0"
,165,"-38,9","144,0","-38,9","144,0","-39,5","144,0","-39,5","144,0","-39,5","144,0","-39,5","144,0"
,170,"-40,4","144,0","-40,4","144,0","-40,9","144,0","-40,9","144,0","-40,9","144,0","-40,9","144,0"
,175,"-41,9","144,0","-41,9","144,0","-42,4","144,0","-42,4","144,0","-42,4","144,0","-42,4","144,0"
,180,"-43,4","144,0","-43,4","144,0","-43,9","144,0","-43,9","144,0","-43,9","144,0","-43,9","144,0"
,185,"-44,8","144,0","-44,8","144,0","-45,4","144,0","-45,4","144,0","-45,4","144,0","-45,4","144,0"
,190,"-46,3","144,0","-46,3","144,0","-46,8","144,0","-46,8","144,0","-46,8","144,0","-46,8","144,0"
,195,"-47,8","144,0","-47,8","144,0","-48,3","144,0","-48,3","144,0","-48,3","144,0","-48,3","144,0"
,200,"-49,3","144,0","-49,3","144,0","-49,8","144,0","-49,8","144,0","-49,8","144,0","-49,8","144,0"
,205,"-50,7","144,0","-50,7","144,0","-51,3","144,0","-51,3","144,0","-51,3","144,0","-51,3","144,0"
,210,"-52,2","144,0","-52,2","144,0","-52,7","144,0","-52,7","144,0","-52,7","144,0","-52,7","144,0"
,215,"-53,7","144,0","-53,7","144,0","-54,2","144,0","-54,2","144,0","-54,2","144,0","-54,2","144,0"
