home_team,away_team,Winner_HoAw,age_home,jumping_home,gk_diving_home,gk_kicking_home,stamina_away,jumping_away,gk_diving_away,gk_kicking_away
Germany,Scotland,Home,25.0,70.0,11.0,9.0,71.5,66.5,11.5,10.0
Hungary,Switzerland,Away,27.0,64.0,11.0,11.0,67.5,68.0,11.5,9.0
Spain,Croatia,Home,27.5,62.0,11.0,10.5,60.5,61.5,11.5,10.0
Italy,Albania,Home,27.0,70.5,12.0,10.5,68.0,66.0,12.0,12.0
Poland,Netherlands,Away,27.5,65.5,11.0,12.5,66.0,66.0,10.0,11.5
Slovenia,Denmark,Draw,27.0,69.0,10.5,11.5,71.5,72.0,11.0,10.0
Serbia,England,Away,28.0,66.5,11.0,13.0,67.5,67.5,10.5,10.0
Romania,Ukraine,Home,28.0,70.0,9.5,9.5,63.5,59.0,12.0,12.0
Belgium,Slovakia,Away,24.0,69.5,11.0,11.0,59.0,60.5,12.5,10.5
Austria,France,Away,26.5,62.5,10.5,12.5,65.0,64.0,10.0,11.5
Türkiye,Georgia,Home,27.0,64.5,11.0,10.0,68.0,61.0,11.0,12.0
Portugal,Czechia,Home,25.0,61.5,9.5,11.5,70.5,72.0,10.0,12.0
Croatia,Albania,Draw,27.0,61.5,11.5,10.0,68.0,66.0,12.0,12.0
Germany,Hungary,Home,25.0,70.0,11.0,9.0,61.0,64.0,11.0,11.0
Scotland,Switzerland,Draw,27.0,66.5,11.5,10.0,67.5,68.0,11.5,9.0
Slovenia,Serbia,Draw,27.0,69.0,10.5,11.5,65.5,66.5,11.0,13.0
Denmark,England,Draw,26.0,72.0,11.0,10.0,67.5,67.5,10.5,10.0
Spain,Italy,Home,27.5,62.0,11.0,10.5,64.5,70.5,12.0,10.5
Slovakia,Ukraine,Away,26.5,60.5,12.5,10.5,63.5,59.0,12.0,12.0
Poland,Austria,Away,27.5,65.5,11.0,12.5,67.0,62.5,10.5,12.5
Netherlands,France,Draw,26.0,66.0,10.0,11.5,65.0,64.0,10.0,11.5
Georgia,Czechia,Draw,29.0,61.0,11.0,12.0,70.5,72.0,10.0,12.0
Türkiye,Portugal,Away,27.0,64.5,11.0,10.0,64.0,61.5,9.5,11.5
Belgium,Romania,Home,24.0,69.5,11.0,11.0,71.0,70.0,9.5,9.5
Switzerland,Germany,Draw,24.5,68.0,11.5,9.0,69.5,70.0,11.0,9.0
Scotland,Hungary,Away,27.0,66.5,11.5,10.0,61.0,64.0,11.0,11.0
Albania,Spain,Away,26.0,66.0,12.0,12.0,69.0,62.0,11.0,10.5
Croatia,Italy,Draw,27.0,61.5,11.5,10.0,64.5,70.5,12.0,10.5
France,Poland,Draw,26.0,64.0,10.0,11.5,70.5,65.5,11.0,12.5
Netherlands,Austria,Away,26.0,66.0,10.0,11.5,67.0,62.5,10.5,12.5
Denmark,Serbia,Draw,26.0,72.0,11.0,10.0,65.5,66.5,11.0,13.0
England,Slovenia,Draw,26.0,67.5,10.5,10.0,65.5,69.0,10.5,11.5
Slovakia,Romania,Draw,26.5,60.5,12.5,10.5,71.0,70.0,9.5,9.5
Ukraine,Belgium,Draw,23.5,59.0,12.0,12.0,63.0,69.5,11.0,11.0
Georgia,Portugal,Home,29.0,61.0,11.0,12.0,64.0,61.5,9.5,11.5
Czechia,Türkiye,Away,29.0,72.0,10.0,12.0,64.5,64.5,11.0,10.0
